time	1	2	3	4	5	6	7	8	9	10
0	100	100	100	100	100	100	100	100	100	100
0.01	97.2184	102.387	103.5	94.2865	97.2263	95.2678	97.2443	98.893	100.896	100.109
0.02	97.5466	100.788	105.586	97.1887	92.3124	93.7011	94.5959	99.5453	102.12	99.7809
0.03	97.2093	100.914	105.689	95.4681	91.9638	88.8602	93.4443	96.4989	103.31	100.36
0.04	96.3281	101.897	105.018	97.5008	93.1543	88.5114	92.6845	97.6035	101.977	95.4237
0.05	93.6532	106.918	106.348	95.6687	92.9455	89.1599	89.2132	98.1952	101.19	89.5252
0.06	94.2599	107.314	106.441	99.3227	91.9736	90.9177	91.0476	97.0515	100.693	90.478
0.07	94.2511	102.536	106.82	98.2087	90.6933	96.8469	89.6191	94.3151	99.7024	90.5491
0.08	93.8618	104.065	107.246	95.0017	90.3532	96.9853	89.658	91.9571	98.1717	88.0744
0.09	92.2263	105.312	107.851	96.11	88.5376	98.3516	92.846	88.6157	94.9481	88.2202
0.1	96.6219	104.286	108.843	98.2056	88.4007	98.5305	91.8827	88.8851	91.501	90.3611
0.11	96.7757	106.059	107.881	99.226	88.8615	97.1226	85.7034	86.2876	90.8351	87.1564
0.12	101.922	107.497	108.545	99.5756	89.0092	101.029	87.0071	88.1064	93.9268	85.9863
0.13	102.423	103.942	107.613	98.3825	88.1768	98.2405	89.7525	83.9817	96.1638	85.1185
0.14	106.918	106.062	108.031	98.4347	87.2346	101.988	83.6495	85.0102	97.353	85.8189
0.15	109.438	105.633	108.067	99.1113	87.4284	105.677	85.3621	86.5222	100.298	85.8987
0.16	110.534	102.46	108.248	99.6355	89.5074	108.237	78.3018	86.2297	101.499	87.229
0.17	111.296	103.908	109.122	103.868	85.9202	104.661	75.1803	85.9011	102.684	86.2069
0.18	110.805	103.525	109.038	105.891	81.7996	104.33	78.0403	85.0147	104.839	86.5926
0.19	109.981	101.546	109.905	103.028	78.5869	106.058	76.3087	85.6955	101.117	86.2389
0.2	110.076	103.141	111.209	101.843	80.4546	107.779	74.8179	85.8808	97.954	88.1174
0.21	108.927	100.052	111.66	102.429	81.5322	108.059	76.37	83.7484	98.6441	90.4364
0.22	108.528	98.5679	111.282	104.632	82.211	110.844	78.2218	84.3201	102.374	89.4709
0.23	109.001	98.4776	111.025	102.102	84.059	113.029	77.0019	87.7118	101.719	90.0242
0.24	109.525	96.6904	110.294	99.7024	82.0343	115.26	70.6226	86.8707	103.105	90.3189
0.25	107.618	99.0983	109.635	96.3605	81.8305	113.791	69.2495	83.0799	103.866	92.2532
0.26	108.327	96.7727	106.218	91.4701	81.2396	113.704	73.9095	83.0598	103.037	93.8966
0.27	109.632	100.217	106.583	92.2441	81.7231	116.949	75.3287	79.5624	103.445	92.9822
0.28	108.63	102.287	104.912	93.083	81.1365	115.463	71.5977	78.7754	103.039	92.6068
0.29	110.588	107.468	104.46	90.3051	78.6338	113.636	71.5595	79.3584	103.467	90.6773
0.3	108.655	107.259	105.021	88.3155	80.1243	116.344	73.6358	79.5101	103.942	88.3202
0.31	109.226	109.374	101.111	93.227	81.1899	117.81	69.1396	78.7967	103.751	88.0082
0.32	110.066	109.772	101.783	94.6467	79.1161	117.585	63.9552	81.0451	104.407	87.1598
0.33	111.29	111.579	100.459	99.1853	77.6124	119.127	66.8633	82.4294	104.622	87.1394
0.34	112.227	113.425	98.0715	99.1011	75.5293	118.344	66.642	78.377	104.533	87.1496
0.35	112.293	113.277	94.7512	99.213	73.367	119.266	62.4197	77.2906	104.144	87.2876
0.36	112.123	117.053	93.1699	96.4493	71.8537	119.025	64.4097	77.8228	104.089	89.3694
0.37	112.168	121.455	95.3085	94.571	73.3776	121.093	65.0333	79.9211	104.141	89.9784
0.38	112.188	119.826	95.2978	92.9413	71.6817	122.543	65.2465	80.2971	104.004	89.1265
0.39	112.279	117.807	93.4201	96.4087	70.2845	122.523	65.6485	80.2932	103.931	91.5655
0.4	112.364	117.881	92.6843	100.455	69.6642	122.42	66.0206	83.0312	103.181	94.0535
0.41	112.462	116.757	89.7361	96.7631	70.2264	122.814	65.6462	83.3035	103.338	95.3131
0.42	112.491	116.539	88.2939	96.3367	67.7528	122.968	67.0297	82.4078	103.753	97.7377
0.43	112.599	114.415	87.3233	94.8999	66.3145	123.05	60.6352	83.3003	103.524	98.5594
0.44	112.708	114.178	87.2691	95.1234	64.1897	123.285	58.131	79.0341	102.726	95.1221
0.45	112.742	114.026	88.4553	89.5273	64.3206	123.333	56.9788	81.3883	102.881	98.1724
0.46	112.635	113.55	87.934	89.379	66.0953	123.312	60.8668	81.9313	101.849	94.7222
0.47	112.669	111.838	87.7528	88.5327	68.5096	123.414	61.0544	82.6301	103.425	93.0846
0.48	112.799	111.204	87.3787	89.9219	67.5192	123.519	59.6974	82.2728	102.89	90.9076
0.49	112.797	111.982	88.225	90.8244	67.7626	123.579	60.946	83.5894	102.524	89.5366
0.5	112.447	114.513	86.2926	90.1778	67.8548	123.62	60.2518	82.9827	103.632	86.7055
0.51	112.33	114.514	84.7134	92.3719	72.1702	123.786	61.7644	83.3827	102.934	84.6874
0.52	112.125	112.03	84.1014	94.0295	70.8122	123.791	61.4447	82.0016	103.337	87.0944
0.53	112.338	111.579	83.7584	94.6568	70.0602	123.627	61.3952	80.0588	103.56	87.258
0.54	112.344	110.434	83.4681	96.8821	67.6447	123.63	60.276	80.0924	103.28	92.1864
0.55	113.095	105.903	82.5571	98.2143	67.3243	123.69	59.1028	81.3026	102.997	96.0297
0.56	112.593	103.778	82.778	99.9786	68.3538	123.372	56.892	82.0729	101.58	95.6419
0.57	112.713	103.323	84.3235	101.895	72.0002	123.726	56.8243	82.3348	101.886	92.5239
0.58	113.631	104.787	85.5618	103.802	72.31	123.615	55.7116	81.862	101.653	95.1633
0.59	114.366	104.462	87.4787	104.828	73.4946	123.521	58.0861	81.5618	101.497	98.2817
0.6	114.206	104.542	86.5808	105.21	73.4039	124.015	58.5332	82.0329	102.62	94.6737
0.61	114.358	104.416	87.7735	103.672	72.3739	124.081	58.0847	84.8617	104.137	97.867
0.62	114.346	102.729	87.7709	105.49	74.4879	124.136	59.4387	84.8749	104.249	101.455
0.63	114.379	100.759	85.5531	105.486	71.9727	124.148	60.6348	82.4471	103.733	104.696
0.64	114.445	99.9596	85.4537	106.4	71.1277	124.351	60.4548	83.0448	103.29	103.282
0.65	114.491	97.8476	85.2995	105.96	69.2911	124.275	61.887	83.7231	101.473	103.114
